state,state_fips,year,employment_rate,dis_type_hearing_18_64_prevalence,dis_type_vision_18_64_prevalence,dis_type_cognitive_18_64_prevalence,dis_type_ambulatory_18_64_prevalence,dis_type_self_care_18_64_prevalence,dis_type_indep_living_18_64_prevalence
South Carolina,45,2019,0.040775577994521126,0.021100604793351244,0.02603489803210566,0.04821274962613978,0.058046596879425115,0.020587125974352527,0.04407679684501674
South Dakota,46,2019,0.05805406752211287,0.029513487218732017,0.02129321476524666,0.05175587946237006,0.04192398274869933,0.016667952011168656,0.031617497295832915
Tennessee,47,2019,0.04738742553411528,0.02836094075315669,0.026411119978613926,0.05770362138841679,0.0643335974071335,0.020435068090063475,0.04539833516428838
Texas,48,2019,0.03951510337729788,0.018927597694200278,0.020898062467864926,0.04003189687706455,0.04252407644835656,0.017440679047545746,0.032930120717719794
Utah,49,2019,0.042026802124181625,0.01681114433085738,0.01105444697592086,0.04074047802556133,0.028066215518044533,0.01074848181995274,0.02790105785599946
Vermont,50,2019,0.04747016463323852,0.02474069546638248,0.02037084923377502,0.0581401119495574,0.051257538833645463,0.019702181788737654,0.04111782390538356
Virginia,51,2019,0.04185886106804302,0.020251022643231115,0.018506349815792328,0.03980995981722847,0.04261523115596054,0.016412117162136947,0.03599704173517668
Washington,53,2019,0.04270423126703935,0.021142781166524384,0.015197295045851348,0.048205446396607274,0.04346110552694627,0.01672072501583455,0.036830603020956684
West Virginia,54,2019,0.05517551892843692,0.04031457855764947,0.03383335022148976,0.07397394890344881,0.0909207359157555,0.02906897824104434,0.05948677848538091
Wisconsin,55,2019,0.041242988769156164,0.019262234696169268,0.012582092733496697,0.04311865842127323,0.0406519067829948,0.01666158839694045,0.032262605195284504
Wyoming,56,2019,0.06030202639117108,0.028612560734209105,0.018001221321800594,0.045386560150098676,0.04975558813724825,0.013579092386799104,0.035353431058744396
Puerto Rico,72,2019,0.03769478568115978,0.022273624360246148,0.04822615831581224,0.07308167428860203,0.07610133326678438,0.028433562303342628,0.05931851787151476
Alabama,1,2021,0.04641038087635571,0.025837480241006735,0.02846068738253512,0.06117239664856526,0.06906825687246296,0.02013726928778816,0.049872556806159526
Alaska,2,2021,0.05709390073585503,0.03922682408722288,0.01886464727076414,0.051303296677503024,0.042677244827302924,0.01566068515497553,0.03645944582017909
Arizona,4,2021,0.04903447356845597,0.022361297337328695,0.022169548210282518,0.04859083259923843,0.04476056713401094,0.01520148399201399,0.036850267045447846
Arkansas,5,2021,0.05334697199549492,0.027214469855697882,0.030462644851622752,0.06948674972922408,0.07142350033878937,0.025253296877742193,0.0562231318450077
California,6,2021,0.0341359861921779,0.015238194312932746,0.01803102542373796,0.03968412174349242,0.033728547841564725,0.015158865256588192,0.03244155739998956
Colorado,8,2021,0.0465523881295871,0.02171883268547174,0.017848009730391683,0.04403057648137733,0.03192410737786447,0.011649595074958925,0.029874131066602756
Connecticut,9,2021,0.04116658654479661,0.017296327631503617,0.018095122986313245,0.043966005305309766,0.03645514795889157,0.01507260495434871,0.03452540741743736
Delaware,10,2021,0.04863768763479202,0.02118694311024806,0.021370818762190356,0.04862393992249727,0.05276887517936468,0.023082408942886847,0.04346167395581829
