state,state_fips,year,employment_rate,edu_bachelors_share,edu_some_college_share,edu_hs_grad_share,edu_less_than_hs_share
Arkansas,5,2015,0.21431212699723096,0.109,0.261,0.387,0.243
California,6,2015,0.21036228174353214,0.18500000000000003,0.3,0.253,0.262
Colorado,8,2015,0.26858298381113116,0.239,0.325,0.289,0.147
Connecticut,9,2015,0.22787272512765075,0.19500000000000003,0.225,0.369,0.21100000000000002
Delaware,10,2015,0.21707183468389338,0.162,0.275,0.35900000000000004,0.20400000000000001
District of Columbia,11,2015,0.23769212380296148,0.21,0.209,0.336,0.245
Florida,12,2015,0.1820434932469168,0.18,0.275,0.34299999999999997,0.202
Georgia,13,2015,0.21690853276884234,0.155,0.261,0.34600000000000003,0.238
Hawaii,15,2015,0.23421061928144982,0.2,0.27299999999999996,0.32899999999999996,0.198
Idaho,16,2015,0.2531923126531665,0.16699999999999998,0.337,0.33,0.166
Illinois,17,2015,0.21987043203953516,0.165,0.28,0.34800000000000003,0.207
Indiana,18,2015,0.2375229738471822,0.111,0.255,0.419,0.214
Iowa,19,2015,0.2988053523493371,0.14500000000000002,0.28700000000000003,0.418,0.15
Kansas,20,2015,0.2880455688711348,0.174,0.31,0.35600000000000004,0.159
Kentucky,21,2015,0.19811720364111032,0.111,0.233,0.376,0.28
Louisiana,22,2015,0.2311814794515355,0.12300000000000001,0.23800000000000002,0.369,0.27
Maine,23,2015,0.2117602477101273,0.169,0.245,0.4089999999999999,0.17800000000000002
Maryland,24,2015,0.2604827891525559,0.224,0.251,0.329,0.197
Massachusetts,25,2015,0.2318466858114048,0.20600000000000002,0.22899999999999998,0.34299999999999997,0.221
Michigan,26,2015,0.20509922937083552,0.134,0.30100000000000005,0.365,0.199
Minnesota,27,2015,0.3014983609699297,0.178,0.301,0.367,0.153
Mississippi,28,2015,0.19125623099351036,0.113,0.271,0.3360000000000001,0.28
Missouri,29,2015,0.23600815145160814,0.134,0.28300000000000003,0.37400000000000005,0.209
Montana,30,2015,0.27100954567423874,0.183,0.316,0.38,0.122
Nebraska,31,2015,0.31114747855264446,0.156,0.34,0.36099999999999993,0.14300000000000002
Nevada,32,2015,0.27333868360668706,0.161,0.34,0.304,0.19499999999999998
New Hampshire,33,2015,0.26547519605031855,0.191,0.292,0.368,0.14800000000000002
New Jersey,34,2015,0.22818437394516963,0.20100000000000004,0.212,0.374,0.21300000000000002
New Mexico,35,2015,0.20586281974037354,0.178,0.27,0.303,0.24899999999999997
New York,36,2015,0.2103462089247206,0.18300000000000002,0.228,0.332,0.256
North Carolina,37,2015,0.21653752643981686,0.14400000000000002,0.28600000000000003,0.326,0.24400000000000002
North Dakota,38,2015,0.31222157403479,0.171,0.312,0.34500000000000003,0.172
Ohio,39,2015,0.23641551363560598,0.126,0.252,0.414,0.20800000000000002
Oklahoma,40,2015,0.24464564089960766,0.145,0.29700000000000004,0.36300000000000004,0.19499999999999998
Oregon,41,2015,0.2419656729016552,0.172,0.368,0.31,0.15
